wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
lubelskie,puławski,-,-,3,-,-,0.27,0,0,0,4,0,0,28,3,25,0,t0614,2023-01-26
lubelskie,radzyński,-,-,0,-,-,0.0,0,0,0,0,0,0,4,0,4,0,t0615,2023-01-26
lubelskie,rycki,-,-,2,-,-,0.36,0,0,0,7,0,0,13,2,11,0,t0616,2023-01-26
lubelskie,świdnicki,-,-,2,-,-,0.28,0,0,0,2,0,0,17,2,15,0,t0617,2023-01-26
lubelskie,tomaszowski,-,-,0,-,-,0.0,0,0,0,0,0,0,8,0,8,0,t0618,2023-01-26
lubelskie,włodawski,-,-,0,-,-,0.0,0,0,0,0,0,0,12,0,12,0,t0619,2023-01-26
lubelskie,zamojski,-,-,2,-,-,0.19,0,0,0,5,0,0,11,2,9,0,t0620,2023-01-26
lubelskie,Biała Podlaska,-,-,2,-,-,0.35,0,0,0,2,0,0,4,2,2,0,t0661,2023-01-26
lubelskie,Chełm,-,-,0,-,-,0.0,0,0,0,0,0,0,8,0,8,0,t0662,2023-01-26
lubelskie,Lublin,-,-,10,-,-,0.29,0,0,0,9,0,0,91,10,81,0,t0663,2023-01-26
lubelskie,Zamość,-,-,0,-,-,0.0,0,0,0,0,0,0,4,0,4,0,t0664,2023-01-26
lubuskie,gorzowski,-,-,0,-,-,0.0,1,1,0,0,0,0,3,0,3,0,t0801,2023-01-26
lubuskie,krośnieński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0802,2023-01-26
lubuskie,międzyrzecki,-,-,2,-,-,0.35,0,0,0,0,0,0,10,2,8,0,t0803,2023-01-26
lubuskie,nowosolski,-,-,2,-,-,0.23,0,0,0,2,0,0,6,2,4,0,t0804,2023-01-26
lubuskie,słubicki,-,-,0,-,-,0.0,0,0,0,0,0,0,5,0,5,0,t0805,2023-01-26
lubuskie,strzelecko-drezdenecki,-,-,6,-,-,1.23,0,0,0,3,0,0,45,7,38,0,t0806,2023-01-26
lubuskie,sulęciński,-,-,0,-,-,0.0,0,0,0,0,0,0,3,0,3,0,t0807,2023-01-26
lubuskie,świebodziński,-,-,1,-,-,0.18,0,0,0,0,0,0,4,1,3,0,t0808,2023-01-26
lubuskie,zielonogórski,-,-,2,-,-,0.26,0,0,0,3,0,0,7,2,5,0,t0809,2023-01-26
lubuskie,żagański,-,-,1,-,-,0.13,0,0,0,1,0,0,8,1,7,0,t0810,2023-01-26
lubuskie,żarski,-,-,0,-,-,0.0,0,0,0,0,0,0,8,0,8,0,t0811,2023-01-26
lubuskie,wschowski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0812,2023-01-26
lubuskie,Gorzów Wielkopolski,-,-,3,-,-,0.24,0,0,0,4,0,0,10,3,7,0,t0861,2023-01-26
lubuskie,Zielona Góra,-,-,5,-,-,0.35,0,0,0,3,0,0,10,5,5,0,t0862,2023-01-26
łódzkie,bełchatowski,-,-,0,-,-,0.0,0,0,0,0,0,0,3,0,3,0,t1001,2023-01-26
łódzkie,kutnowski,-,-,1,-,-,0.1,0,0,0,2,0,0,7,1,6,0,t1002,2023-01-26
łódzkie,łaski,-,-,0,-,-,0.0,0,0,0,4,0,0,6,0,6,0,t1003,2023-01-26
łódzkie,łęczycki,-,-,1,-,-,0.2,0,0,0,1,0,0,2,1,1,0,t1004,2023-01-26
łódzkie,łowicki,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1005,2023-01-26
łódzkie,łódzki wschodni,-,-,0,-,-,0.0,0,0,0,1,0,0,2,0,2,0,t1006,2023-01-26
łódzkie,opoczyński,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t1007,2023-01-26
łódzkie,pabianicki,-,-,0,-,-,0.0,0,0,0,2,0,0,8,0,8,0,t1008,2023-01-26
łódzkie,pajęczański,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1009,2023-01-26
łódzkie,piotrkowski,-,-,0,-,-,0.0,0,0,0,1,0,0,6,0,6,0,t1010,2023-01-26
łódzkie,poddębicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1011,2023-01-26
łódzkie,radomszczański,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1012,2023-01-26
łódzkie,rawski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1013,2023-01-26
łódzkie,sieradzki,-,-,0,-,-,0.0,0,0,0,0,0,0,8,0,8,0,t1014,2023-01-26
łódzkie,skierniewicki,-,-,1,-,-,0.26,0,0,0,2,0,0,4,1,3,0,t1015,2023-01-26
łódzkie,tomaszowski,-,-,1,-,-,0.09,0,0,0,0,0,0,15,1,14,0,t1016,2023-01-26
łódzkie,wieluński,-,-,2,-,-,0.26,0,0,0,5,0,0,12,2,10,0,t1017,2023-01-26
łódzkie,wieruszowski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1018,2023-01-26
łódzkie,zduńskowolski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1019,2023-01-26
łódzkie,zgierski,-,-,2,-,-,0.12,0,0,0,0,0,0,8,2,6,0,t1020,2023-01-26
łódzkie,brzeziński,-,-,0,-,-,0.0,0,0,0,1,0,0,18,0,18,0,t1021,2023-01-26
łódzkie,Łódź,-,-,7,-,-,0.1,0,0,0,11,0,0,45,8,37,0,t1061,2023-01-26
łódzkie,Piotrków Trybunalski,-,-,0,-,-,0.0,0,0,0,0,0,0,10,0,10,0,t1062,2023-01-26
łódzkie,Skierniewice,-,-,0,-,-,0.0,0,0,0,1,0,0,2,0,2,0,t1063,2023-01-26
małopolskie,bocheński,-,-,1,-,-,0.09,0,0,0,9,0,0,21,1,20,0,t1201,2023-01-26
małopolskie,brzeski,-,-,1,-,-,0.11,0,0,0,1,0,0,6,1,5,0,t1202,2023-01-26
małopolskie,chrzanowski,-,-,1,-,-,0.08,0,0,0,1,0,0,3,1,2,0,t1203,2023-01-26
małopolskie,dąbrowski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1204,2023-01-26
