Loading...,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-05-01,lubuskie,Żarski,0811,0.00,0.04,40.94,2023-04-29,9.54,0.18,0.21,0.16,0.16,0.16,0.15,0.16,0.13,0.10,0.09,0.07,0.04,0.06,0.04,0.04
2023-05-01,lubuskie,Wschowski,0812,0.26,0.00,28.58,2023-04-29,3.86,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,lubuskie,Gorzów Wielkopolski,0861,0.00,0.16,56.32,2023-04-29,12.26,0.15,0.21,0.15,0.15,0.16,0.16,0.16,0.16,0.18,0.18,0.21,0.16,0.17,0.17,0.16
2023-05-01,lubuskie,Zielona Góra,0862,0.07,0.02,52.11,2023-04-29,14.09,0.21,0.25,0.21,0.17,0.15,0.10,0.10,0.11,0.07,0.09,0.07,0.06,0.05,0.04,0.02
2023-05-01,łódzkie,Bełchatowski,1001,0.09,0.09,28.32,2023-04-29,11.24,0.11,0.13,0.16,0.14,0.11,0.10,0.11,0.11,0.10,0.06,0.06,0.05,0.10,0.10,0.09
2023-05-01,łódzkie,Kutnowski,1002,0.00,0.06,38.42,2023-04-29,9.55,0.13,0.15,0.12,0.07,0.06,0.04,0.04,0.04,0.04,0.03,0.01,0.01,0.04,0.04,0.06
2023-05-01,łódzkie,Łaski,1003,0.00,0.03,26.72,2023-04-29,4.97,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.09,0.09,0.09,0.09,0.06,0.06,0.03
2023-05-01,łódzkie,Łęczycki,1004,0.00,0.00,36.81,2023-04-29,4.93,0.11,0.11,0.11,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00
2023-05-01,łódzkie,Łowicki,1005,0.00,0.04,35.08,2023-04-29,7.76,0.07,0.07,0.06,0.02,0.02,0.02,0.04,0.02,0.04,0.06,0.06,0.06,0.06,0.04,0.04
2023-05-01,łódzkie,Łódzki Wschodni,1006,0.00,0.04,32.42,2023-04-29,7.26,0.06,0.04,0.04,0.02,0.06,0.06,0.06,0.06,0.08,0.08,0.08,0.02,0.02,0.04,0.04
