Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2024-03-01,lubuskie,Wschowski,0812,0.00,0.07,28.59,2024-02-24,3.86,0.04,0.07,0.07,0.07,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.07,0.07,0.07,0.07
2024-03-01,lubuskie,Gorzów Wielkopolski,0861,0.00,0.06,58.91,2024-02-24,12.26,0.13,0.13,0.13,0.13,0.09,0.08,0.05,0.05,0.06,0.06,0.06,0.07,0.09,0.09,0.06
2024-03-01,lubuskie,Zielona Góra,0862,0.07,0.01,54.70,2024-02-24,14.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01
2024-03-01,łódzkie,Bełchatowski,1001,0.00,0.01,28.40,2024-02-24,11.24,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
2024-03-01,łódzkie,Kutnowski,1002,0.00,0.06,40.19,2024-02-24,9.55,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.04,0.07,0.07,0.07,0.07,0.07,0.07,0.06
2024-03-01,łódzkie,Łaski,1003,0.00,0.00,26.82,2024-02-24,4.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Łęczycki,1004,0.00,0.00,37.44,2024-02-24,4.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Łowicki,1005,0.00,0.06,35.50,2024-02-24,7.76,0.09,0.07,0.07,0.07,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.06,0.06
2024-03-01,łódzkie,Łódzki Wschodni,1006,0.00,0.00,33.67,2024-02-24,7.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Opoczyński,1007,0.00,0.02,26.39,2024-02-24,7.55,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.02,0.02,0.02
2024-03-01,łódzkie,Pabianicki,1008,0.00,0.05,48.48,2024-02-24,11.89,0.06,0.05,0.05,0.05,0.04,0.02,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.05
2024-03-01,łódzkie,Pajęczański,1009,0.00,0.00,20.99,2024-02-24,5.10,0.06,0.06,0.06,0.06,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Piotrkowski,1010,0.00,0.00,19.85,2024-02-24,9.12,0.05,0.03,0.03,0.03,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.03,0.02,0.02,0.00
2024-03-01,łódzkie,Poddębicki,1011,0.00,0.00,32.74,2024-02-24,4.09,0.03,0.07,0.07,0.07,0.07,0.07,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Radomszczański,1012,0.00,0.03,32.56,2024-02-24,11.17,0.05,0.04,0.04,0.04,0.01,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.04,0.03,0.03
2024-03-01,łódzkie,Rawski,1013,0.00,0.00,22.67,2024-02-24,4.84,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Sieradzki,1014,0.00,0.00,31.78,2024-02-24,11.69,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
2024-03-01,łódzkie,Skierniewicki,1015,0.00,0.07,14.78,2024-02-24,3.82,0.11,0.11,0.11,0.11,0.04,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2024-03-01,łódzkie,Tomaszowski,1016,0.00,0.01,32.38,2024-02-24,11.57,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.05,0.05,0.04,0.04,0.01,0.01
2024-03-01,łódzkie,Wieluński,1017,0.00,0.00,36.74,2024-02-24,7.57,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.00,0.00
2024-03-01,łódzkie,Wieruszowski,1018,0.00,0.00,31.58,2024-02-24,4.20,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Zduńskowolski,1019,0.00,0.00,34.03,2024-02-24,6.61,0.06,0.02,0.02,0.02,0.04,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.00,0.00,0.00
2024-03-01,łódzkie,Zgierski,1020,0.00,0.00,39.19,2024-02-24,16.59,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.01,0.00
2024-03-01,łódzkie,Brzeziński,1021,0.00,0.00,34.09,2024-02-24,3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,łódzkie,Łódź,1061,0.03,0.02,60.84,2024-02-24,67.22,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02
2024-03-01,łódzkie,Piotrków Trybunalski,1062,0.00,0.04,54.84,2024-02-24,7.23,0.08,0.10,0.10,0.10,0.10,0.10,0.10,0.06,0.04,0.04,0.04,0.02,0.04,0.06,0.04
2024-03-01,łódzkie,Skierniewice,1063,0.00,0.03,58.86,2024-02-24,4.77,0.06,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03
2024-03-01,małopolskie,Bocheński,1201,0.00,0.03,30.22,2024-02-24,10.69,0.07,0.07,0.07,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.03,0.03
2024-03-01,małopolskie,Brzeski,1202,0.00,0.06,24.07,2024-02-24,9.30,0.12,0.12,0.11,0.11,0.03,0.06,0.05,0.05,0.03,0.03,0.03,0.05,0.03,0.03,0.06
2024-03-01,małopolskie,Chrzanowski,1203,0.16,0.03,40.59,2024-02-24,12.37,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.00,0.01,0.01,0.01,0.02,0.03,0.03,0.03
