#REF!,,,,,,,,,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
,,,,,,,,,0.30,0.30,0.22,0.21,0.18,0.14,0.15,0.14,0.14,0.14,0.12,0.15,0.14,0.13,
,,,,,,,,,0.15,0.15,0.15,0.17,0.22,0.15,0.13,0.13,0.13,0.13,0.13,0.08,0.10,0.12,
,,,,,,,,,0.14,0.14,0.14,0.10,0.11,0.12,0.11,0.09,0.09,0.09,0.09,0.05,0.06,0.09,
,,,,,,,,,0.82,0.82,0.82,0.57,0.49,0.41,0.38,0.35,0.35,0.35,0.38,0.35,0.38,0.35,
,,,,,,,,,0.97,0.97,0.97,0.86,0.80,0.69,0.55,0.45,0.45,0.45,0.21,0.10,0.10,0.14,
,,,,,,,,,0.25,0.25,0.25,0.19,0.25,0.25,0.25,0.25,0.28,0.28,0.22,0.17,0.17,0.22,
,,,,,,,,,0.42,0.42,0.42,0.35,0.29,0.26,0.21,0.19,0.19,0.19,0.17,0.16,0.16,0.16,
,,,,,,,,,1.42,1.47,1.44,1.42,1.35,1.00,0.89,0.79,0.75,0.75,0.74,0.68,0.79,0.79,
,,,,,,,,,0.30,0.30,0.28,0.30,0.25,0.28,0.22,0.14,0.14,0.14,0.16,0.16,0.19,0.28,
,,,,,,,,,0.37,0.37,0.37,0.30,0.25,0.17,0.15,0.13,0.13,0.13,0.12,0.08,0.10,0.05,
,,,,,,,,,0.96,0.96,0.96,0.69,0.59,0.32,0.27,0.29,0.29,0.29,0.16,0.16,0.13,0.13,
,,,,,,,,,0.83,0.83,0.83,0.87,0.69,0.69,0.43,0.33,0.33,0.33,0.25,0.25,0.29,0.29,
,,,,,,,,,0.29,0.26,0.26,0.25,0.29,0.31,0.25,0.24,0.25,0.25,0.22,0.14,0.13,0.13,
,,,,,,,,,0.61,0.61,0.61,0.48,0.46,0.43,0.35,0.28,0.28,0.28,0.24,0.26,0.28,0.26,
,,,,,,,,,0.41,0.41,0.41,0.43,0.34,0.25,0.25,0.23,0.23,0.23,0.19,0.18,0.19,0.15,
,,,,,,,,,0.92,0.92,0.92,0.83,0.77,0.65,0.67,0.60,0.60,0.60,0.63,0.63,0.60,0.56,
,,,,,,,,,1.43,1.43,1.47,1.27,1.47,1.23,1.07,0.87,0.87,0.83,0.59,0.36,0.40,0.36,
,,,,,,,,,1.16,1.16,1.16,1.08,1.12,1.00,1.04,1.04,1.04,1.04,0.89,0.78,0.60,0.41,
,,,,,,,,,0.76,0.74,0.74,0.68,0.38,0.38,0.38,0.30,0.30,0.30,0.23,0.30,0.30,0.40,
,,,,,,,,,0.63,0.63,0.63,0.55,0.47,0.36,0.30,0.22,0.22,0.22,0.17,0.22,0.19,0.28,
,,,,,,,,,0.22,0.22,0.22,0.19,0.17,0.18,0.18,0.17,0.17,0.17,0.14,0.19,0.17,0.13,
