wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
śląskie,Świętochłowice,56743,92,21638,30,t2476,24249,15,213,0,10643,47
śląskie,Tychy,168157,146,61247,15,t2477,66436,15,872,0,39602,116
śląskie,Zabrze,199175,74,69985,42,t2478,86672,13,929,0,41589,19
śląskie,Żory,87370,50,33253,25,t2479,38093,4,743,0,15281,21
świętokrzyskie,buski,78115,0,28172,0,t2601,33471,0,828,0,15644,0
świętokrzyskie,jędrzejowski,109786,215,41116,40,t2602,45851,9,399,1,22420,165
świętokrzyskie,kazimierski,37245,5,13648,2,t2603,16036,2,218,0,7343,1
świętokrzyskie,kielecki,171879,142,62759,26,t2604,74286,18,384,10,34450,88
świętokrzyskie,konecki,87069,0,31253,0,t2605,36596,0,281,0,18939,0
świętokrzyskie,opatowski,50946,0,19281,0,t2606,21689,0,495,0,9481,0
świętokrzyskie,ostrowiecki,133596,49,47973,14,t2607,55423,15,307,0,29893,20
świętokrzyskie,pińczowski,49896,67,17283,3,t2608,23506,7,43,0,9064,57
świętokrzyskie,sandomierski,105907,28,40403,12,t2609,46392,3,875,0,18237,13
świętokrzyskie,skarżyski,79592,81,28152,23,t2610,31713,10,202,0,19525,48
świętokrzyskie,starachowicki,93786,0,33776,0,t2611,38547,0,700,0,20763,0
świętokrzyskie,staszowski,55763,124,20260,47,t2612,22997,10,353,0,12153,67
świętokrzyskie,włoszczowski,63492,0,24121,0,t2613,28217,0,63,0,11091,0
świętokrzyskie,Kielce,392910,177,146468,30,t2661,172379,10,1095,0,72968,137
warmińsko-mazurskie,bartoszycki,78082,0,29026,0,t2801,33429,0,187,0,15440,0
warmińsko-mazurskie,braniewski,44740,0,16874,0,t2802,18285,0,55,0,9526,0
warmińsko-mazurskie,działdowski,77291,5,28756,0,t2803,31506,0,123,0,16906,5
warmińsko-mazurskie,elbląski,53889,46,20912,18,t2804,22165,3,489,0,10323,25
warmińsko-mazurskie,ełcki,119701,34,41034,14,t2805,54637,2,814,0,23216,18
warmińsko-mazurskie,giżycki,77925,47,28212,16,t2806,33416,1,829,0,15468,30
warmińsko-mazurskie,iławski,103183,0,37022,0,t2807,43411,0,562,0,22188,0
warmińsko-mazurskie,kętrzyński,65281,75,23888,44,t2808,25565,3,94,0,15734,28
warmińsko-mazurskie,lidzbarski,43269,0,16416,0,t2809,17805,0,220,0,8828,0
warmińsko-mazurskie,mrągowski,46332,27,15970,1,t2810,19023,2,259,0,11080,24
warmińsko-mazurskie,nidzicki,67404,7,22304,2,t2811,34535,0,335,0,10230,5
warmińsko-mazurskie,nowomiejski,55804,0,20552,0,t2812,23947,0,468,0,10837,0
warmińsko-mazurskie,olecki,36454,0,13894,0,t2813,15214,0,171,0,7175,0
warmińsko-mazurskie,olsztyński,135481,29,51403,16,t2814,57991,4,983,0,25104,9
warmińsko-mazurskie,ostródzki,100814,6,37763,3,t2815,42045,0,866,0,20140,3
warmińsko-mazurskie,piski,70213,0,27021,0,t2816,31027,0,73,0,12092,0
warmińsko-mazurskie,szczycieński,82722,7,30873,1,t2817,34189,1,409,0,17251,5
