wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
podkarpackie,ropczycko-sędziszowski,-,-,1,-,-,0.13,0,0,0,8,3,89,59,1,58,0,t1815
podkarpackie,rzeszowski,-,-,8,-,-,0.47,3,0,3,52,28,425,132,8,123,1,t1816
podkarpackie,sanocki,-,-,5,-,-,0.53,0,0,0,11,1,122,72,6,66,0,t1817
podkarpackie,stalowowolski,-,-,10,-,-,0.94,1,0,1,30,15,294,82,11,71,0,t1818
podkarpackie,strzyżowski,-,-,0,-,-,0.0,0,0,0,17,3,97,53,0,53,0,t1819
podkarpackie,tarnobrzeski,-,-,2,-,-,0.38,1,0,1,20,5,188,46,4,42,0,t1820
podkarpackie,leski,-,-,2,-,-,0.76,1,1,0,3,1,57,12,2,10,0,t1821
podkarpackie,Krosno,-,-,1,-,-,0.22,0,0,0,12,3,52,31,1,30,0,t1861
podkarpackie,Przemyśl,-,-,0,-,-,0.0,1,0,1,10,9,166,50,2,48,0,t1862
podkarpackie,Rzeszów,-,-,13,-,-,0.66,3,0,3,64,14,547,206,16,189,1,t1863
podkarpackie,Tarnobrzeg,-,-,7,-,-,1.5,0,0,0,24,2,116,41,8,33,0,t1864
podlaskie,augustowski,-,-,9,-,-,1.55,0,0,0,28,14,258,61,10,51,0,t2001
podlaskie,białostocki,-,-,14,-,-,0.93,0,0,0,109,41,693,154,16,138,0,t2002
podlaskie,bielski,-,-,1,-,-,0.18,0,0,0,35,4,190,82,3,78,1,t2003
podlaskie,grajewski,-,-,7,-,-,1.49,0,0,0,10,8,100,58,9,49,0,t2004
podlaskie,hajnowski,-,-,0,-,-,0.0,1,0,1,24,14,185,86,1,85,0,t2005
podlaskie,kolneński,-,-,2,-,-,0.53,0,0,0,9,3,86,72,2,70,0,t2006
podlaskie,łomżyński,-,-,5,-,-,0.98,0,0,0,25,3,200,69,5,64,0,t2007
podlaskie,moniecki,-,-,4,-,-,0.99,0,0,0,15,10,139,35,4,31,0,t2008
podlaskie,sejneński,-,-,1,-,-,0.5,0,0,0,3,2,72,7,1,6,0,t2009
podlaskie,siemiatycki,-,-,3,-,-,0.68,0,0,0,13,3,109,62,7,54,1,t2010
podlaskie,sokólski,-,-,23,-,-,3.47,0,0,0,63,12,343,70,26,42,2,t2011
podlaskie,suwalski,-,-,2,-,-,0.56,0,0,0,13,5,111,19,2,17,0,t2012
podlaskie,wysokomazowiecki,-,-,6,-,-,1.06,0,0,0,16,1,157,43,6,37,0,t2013
podlaskie,zambrowski,-,-,3,-,-,0.69,0,0,0,19,1,166,33,5,27,1,t2014
podlaskie,Białystok,-,-,29,-,-,0.97,0,0,0,240,44,1475,366,32,334,0,t2061
podlaskie,Łomża,-,-,28,-,-,4.46,0,0,0,48,9,228,132,29,103,0,t2062
podlaskie,Suwałki,-,-,6,-,-,0.86,1,0,1,48,13,281,36,6,29,1,t2063
pomorskie,bytowski,-,-,3,-,-,0.38,0,0,0,33,7,275,81,4,77,0,t2201
pomorskie,chojnicki,-,-,13,-,-,1.33,0,0,0,74,4,310,76,14,60,2,t2202
pomorskie,człuchowski,-,-,8,-,-,1.43,0,0,0,38,10,288,84,8,74,2,t2203
pomorskie,gdański,-,-,26,-,-,2.18,0,0,0,108,53,1050,191,30,148,13,t2204
pomorskie,kartuski,-,-,21,-,-,1.49,0,0,0,92,27,794,115,23,89,3,t2205
pomorskie,kościerski,-,-,7,-,-,0.96,2,2,0,32,10,319,51,12,37,2,t2206
pomorskie,kwidzyński,-,-,9,-,-,1.08,2,1,1,71,16,557,107,13,93,1,t2207
pomorskie,lęborski,-,-,2,-,-,0.3,0,0,0,56,6,262,55,2,53,0,t2208
pomorskie,malborski,-,-,19,-,-,3.0,3,3,0,62,26,459,69,21,46,2,t2209
